date;Hydropower;HBO;Jeremy Irons;The Photographers' Gallery;air travel;isPartial
2022-01-01;5;100;4;0;9;False
2022-01-02;0;59;6;0;17;False
2022-01-03;0;43;4;0;14;False
2022-01-04;2;40;2;0;14;False
2022-01-05;3;32;4;2;20;False
2022-01-06;3;31;0;2;16;False
2022-01-07;2;36;12;0;17;False
2022-01-08;0;42;8;0;19;False
2022-01-09;1;60;4;2;15;False
2022-01-10;1;57;4;0;26;False
2022-01-11;0;41;2;3;21;False
2022-01-12;8;36;1;1;18;False
2022-01-13;2;44;72;0;27;False
2022-01-14;5;34;25;0;22;False
2022-01-15;0;57;10;0;18;False
2022-01-16;0;58;7;0;19;False
2022-01-17;2;47;4;0;17;False
2022-01-18;0;38;5;1;16;False
2022-01-19;1;34;8;0;20;False
2022-01-20;0;33;8;0;14;False
2022-01-21;1;37;17;0;10;False
2022-01-22;0;32;13;1;14;False
2022-01-23;1;45;15;2;18;False
2022-01-24;2;36;7;0;26;False
2022-01-25;2;35;4;0;13;False
2022-01-26;4;39;5;0;17;False
2022-01-27;0;34;2;5;19;False
2022-01-28;0;41;12;0;13;False
2022-01-29;0;60;8;0;16;False
2022-01-30;3;50;6;0;19;False
2022-01-31;2;55;2;0;22;False
