date;County Championship Division Two;Somerset;London film festival 2021;London film festival;air travel;isPartial
2022-01-01;0;80;0;1;4;False
2022-01-02;0;82;0;0;7;False
2022-01-03;0;83;0;0;6;False
2022-01-04;0;100;0;0;6;False
2022-01-05;0;91;1;1;9;False
2022-01-06;0;85;0;1;7;False
2022-01-07;0;81;1;0;7;False
2022-01-08;0;69;0;1;8;False
2022-01-09;0;77;0;0;6;False
2022-01-10;0;87;0;1;11;False
2022-01-11;0;85;0;1;9;False
2022-01-12;0;77;0;0;8;False
2022-01-13;0;88;1;2;11;False
2022-01-14;0;75;0;0;10;False
2022-01-15;0;82;1;0;8;False
2022-01-16;0;86;0;1;8;False
2022-01-17;0;97;1;0;7;False
2022-01-18;0;86;1;0;7;False
2022-01-19;0;81;0;0;9;False
2022-01-20;0;81;0;1;6;False
2022-01-21;0;75;0;2;4;False
2022-01-22;0;78;0;0;6;False
2022-01-23;0;82;0;1;8;False
2022-01-24;0;94;1;2;11;False
2022-01-25;0;80;0;0;6;False
2022-01-26;0;78;0;0;7;False
2022-01-27;0;76;0;0;8;False
2022-01-28;0;78;0;0;6;False
2022-01-29;0;75;1;1;7;False
2022-01-30;0;70;0;1;8;False
2022-01-31;0;84;1;0;9;False
