date;Inflation;Money;Fashion;Books;air travel;isPartial
2022-01-01;2;78;21;54;1;False
2022-01-02;3;96;23;62;1;False
2022-01-03;4;100;23;60;1;False
2022-01-04;6;92;22;58;1;False
2022-01-05;6;92;20;55;2;False
2022-01-06;6;86;21;49;1;False
2022-01-07;6;86;21;53;1;False
2022-01-08;4;83;23;58;1;False
2022-01-09;5;87;24;58;1;False
2022-01-10;7;90;24;60;2;False
2022-01-11;7;78;23;51;2;False
2022-01-12;10;82;23;51;1;False
2022-01-13;7;82;22;56;2;False
2022-01-14;5;71;21;46;2;False
2022-01-15;4;78;25;59;1;False
2022-01-16;3;85;23;61;1;False
2022-01-17;7;86;24;53;1;False
2022-01-18;7;83;22;51;1;False
2022-01-19;17;76;21;44;2;False
2022-01-20;9;79;23;47;1;False
2022-01-21;7;76;21;44;1;False
2022-01-22;4;72;22;52;1;False
2022-01-23;5;91;23;56;1;False
2022-01-24;9;94;29;59;2;False
2022-01-25;8;86;23;51;1;False
2022-01-26;8;74;23;48;1;False
2022-01-27;7;87;22;44;1;False
2022-01-28;6;90;22;49;1;False
2022-01-29;5;79;24;49;1;False
2022-01-30;5;92;23;53;1;False
2022-01-31;6;87;22;49;2;False
