date;Ballet;Dance;Stage;Margot Fonteyn;air travel;isPartial
2022-01-01;15;87;29;0;2;False
2022-01-02;17;88;30;0;3;False
2022-01-03;15;73;30;0;3;False
2022-01-04;14;78;34;0;3;False
2022-01-05;13;75;33;0;4;False
2022-01-06;15;75;36;0;3;False
2022-01-07;15;81;37;0;3;False
2022-01-08;24;97;33;0;3;False
2022-01-09;21;91;37;0;3;False
2022-01-10;17;81;39;0;5;False
2022-01-11;15;75;40;0;4;False
2022-01-12;13;77;38;0;3;False
2022-01-13;16;85;45;0;5;False
2022-01-14;14;78;35;0;4;False
2022-01-15;22;100;39;0;3;False
2022-01-16;18;94;37;0;4;False
2022-01-17;17;75;42;0;3;False
2022-01-18;16;69;37;0;3;False
2022-01-19;14;71;38;0;4;False
2022-01-20;17;72;37;0;3;False
2022-01-21;16;77;36;0;2;False
2022-01-22;24;88;35;0;3;False
2022-01-23;23;83;38;0;3;False
2022-01-24;19;86;46;1;5;False
2022-01-25;14;71;40;0;2;False
2022-01-26;14;70;38;0;3;False
2022-01-27;14;69;37;0;3;False
2022-01-28;14;77;38;0;2;False
2022-01-29;20;92;38;0;3;False
2022-01-30;19;76;37;0;3;False
2022-01-31;15;74;40;0;4;False
