date;Bristol Old Vic;Mark Rylance;Elizabeth McGovern;Short stories;air travel;isPartial
2022-01-01;9;65;0;35;23;False
2022-01-02;14;54;0;31;45;False
2022-01-03;3;24;5;23;38;False
2022-01-04;12;17;0;32;34;False
2022-01-05;11;17;0;53;57;False
2022-01-06;4;9;0;27;46;False
2022-01-07;12;22;0;25;45;False
2022-01-08;15;46;0;15;44;False
2022-01-09;11;32;100;21;26;False
2022-01-10;12;69;6;25;70;False
2022-01-11;9;17;18;11;47;False
2022-01-12;15;15;0;35;48;False
2022-01-13;0;12;7;23;57;False
2022-01-14;10;8;0;23;54;False
2022-01-15;10;20;14;19;53;False
2022-01-16;9;34;10;29;58;False
2022-01-17;4;16;6;31;35;False
2022-01-18;9;9;0;17;46;False
2022-01-19;7;5;0;24;52;False
2022-01-20;10;8;10;17;33;False
2022-01-21;15;24;5;21;26;False
2022-01-22;12;10;6;29;38;False
2022-01-23;4;6;6;28;47;False
2022-01-24;7;0;5;26;60;False
2022-01-25;15;5;4;31;35;False
2022-01-26;7;3;13;23;45;False
2022-01-27;9;4;4;22;39;False
2022-01-28;15;17;76;30;33;False
2022-01-29;10;15;4;12;42;False
2022-01-30;17;4;5;31;52;False
2022-01-31;16;8;4;19;62;False
