date;texas;clothing industry;italy;fashion;air travel;isPartial
2022-01-01;43;0;65;64;2;False
2022-01-02;24;0;74;70;4;False
2022-01-03;22;0;82;69;3;False
2022-01-04;24;0;68;66;3;False
2022-01-05;23;0;79;61;5;False
2022-01-06;26;1;83;62;4;False
2022-01-07;22;0;78;64;4;False
2022-01-08;23;0;88;70;4;False
2022-01-09;24;0;97;72;3;False
2022-01-10;23;0;85;74;6;False
2022-01-11;19;0;79;71;5;False
2022-01-12;22;0;71;70;4;False
2022-01-13;21;0;84;68;6;False
2022-01-14;19;1;66;62;5;False
2022-01-15;31;1;82;77;4;False
2022-01-16;48;0;92;69;4;False
2022-01-17;35;1;85;72;4;False
2022-01-18;23;0;75;65;4;False
2022-01-19;22;0;71;63;5;False
2022-01-20;26;0;74;69;3;False
2022-01-21;33;0;71;64;2;False
2022-01-22;31;0;80;65;3;False
2022-01-23;26;0;92;70;4;False
2022-01-24;23;1;100;88;6;False
2022-01-25;22;0;81;70;3;False
2022-01-26;22;0;73;68;4;False
2022-01-27;22;0;74;68;4;False
2022-01-28;25;1;78;65;3;False
2022-01-29;24;0;83;73;4;False
2022-01-30;23;0;85;69;4;False
2022-01-31;20;0;81;66;5;False
