date;Malnutrition;Drought;Conflict and arms;Long Covid;air travel;isPartial
2022-01-01;1;2;0;82;2;False
2022-01-02;0;0;0;88;3;False
2022-01-03;1;0;0;92;3;False
2022-01-04;1;1;0;100;4;False
2022-01-05;0;0;0;85;4;False
2022-01-06;0;0;0;75;3;False
2022-01-07;0;0;0;73;4;False
2022-01-08;1;0;0;70;3;False
2022-01-09;0;0;0;68;3;False
2022-01-10;0;1;0;71;4;False
2022-01-11;1;0;0;63;3;False
2022-01-12;1;0;0;57;3;False
2022-01-13;1;1;0;57;4;False
2022-01-14;0;1;0;45;4;False
2022-01-15;1;0;0;46;3;False
2022-01-16;0;1;0;55;4;False
2022-01-17;1;1;0;55;2;False
2022-01-18;1;1;0;52;3;False
2022-01-19;1;2;0;52;3;False
2022-01-20;0;1;0;52;2;False
2022-01-21;0;1;0;56;2;False
2022-01-22;1;1;0;45;3;False
2022-01-23;1;1;0;51;3;False
2022-01-24;0;2;0;61;4;False
2022-01-25;1;1;0;48;2;False
2022-01-26;1;1;0;49;3;False
2022-01-27;1;1;0;46;3;False
2022-01-28;0;1;0;41;3;False
2022-01-29;0;2;0;47;3;False
2022-01-30;0;1;0;50;4;False
2022-01-31;1;2;0;53;4;False
