date;Drama films;Sean Penn;Energy bills;Biography books;air travel;isPartial
2022-01-01;9;8;4;0;13;False
2022-01-02;9;8;13;0;32;False
2022-01-03;3;4;7;0;21;False
2022-01-04;0;2;13;0;25;False
2022-01-05;0;5;17;2;38;False
2022-01-06;0;3;17;0;29;False
2022-01-07;5;9;100;4;35;False
2022-01-08;5;11;35;0;30;False
2022-01-09;0;5;14;4;23;False
2022-01-10;5;8;13;2;40;False
2022-01-11;3;5;18;4;31;False
2022-01-12;0;10;22;3;35;False
2022-01-13;5;7;19;5;40;False
2022-01-14;5;8;14;2;38;False
2022-01-15;0;11;7;5;36;False
2022-01-16;0;13;5;5;37;False
2022-01-17;2;4;20;0;26;False
2022-01-18;0;7;14;4;31;False
2022-01-19;0;0;20;0;33;False
2022-01-20;0;4;21;2;19;False
2022-01-21;3;7;50;0;18;False
2022-01-22;8;9;11;0;26;False
2022-01-23;8;6;10;3;33;False
2022-01-24;4;14;25;8;35;False
2022-01-25;2;6;24;0;24;False
2022-01-26;0;8;19;0;31;False
2022-01-27;6;0;14;3;27;False
2022-01-28;5;13;10;5;25;False
2022-01-29;0;29;9;2;19;False
2022-01-30;5;19;13;4;35;False
2022-01-31;0;13;16;2;39;False
