date;Steven Spielberg;Ridley Scott;Jimi Hendrix;Tracey Emin;air travel;isPartial
2022-01-01;42;18;31;14;26;False
2022-01-02;33;12;40;15;48;False
2022-01-03;24;12;9;0;40;False
2022-01-04;21;13;18;6;42;False
2022-01-05;11;9;20;25;59;False
2022-01-06;14;12;16;30;47;False
2022-01-07;24;13;17;22;49;False
2022-01-08;28;28;20;7;55;False
2022-01-09;22;17;22;10;43;False
2022-01-10;21;10;25;11;75;False
2022-01-11;13;20;30;7;61;False
2022-01-12;21;5;24;13;52;False
2022-01-13;11;6;17;4;77;False
2022-01-14;24;9;27;10;65;False
2022-01-15;18;18;33;0;51;False
2022-01-16;19;16;19;53;56;False
2022-01-17;14;16;24;13;50;False
2022-01-18;18;6;18;8;46;False
2022-01-19;13;6;9;16;58;False
2022-01-20;12;5;22;100;42;False
2022-01-21;20;12;28;19;29;False
2022-01-22;30;20;15;12;41;False
2022-01-23;15;14;15;5;53;False
2022-01-24;15;7;21;0;75;False
2022-01-25;12;4;18;18;38;False
2022-01-26;20;17;22;5;49;False
2022-01-27;0;6;13;7;55;False
2022-01-28;18;0;28;5;38;False
2022-01-29;17;9;22;11;46;False
2022-01-30;18;9;16;9;55;False
2022-01-31;12;8;7;23;64;False
