date;Australia cricket team;New York Post;Adelaide;Virgin Media;air travel;isPartial
2022-01-01;0;2;7;50;2;False
2022-01-02;0;1;6;56;4;False
2022-01-03;0;0;7;62;3;False
2022-01-04;0;1;7;85;3;False
2022-01-05;0;1;9;89;4;False
2022-01-06;0;1;7;86;3;False
2022-01-07;0;1;9;78;4;False
2022-01-08;0;1;10;72;4;False
2022-01-09;0;1;8;68;3;False
2022-01-10;1;1;8;93;5;False
2022-01-11;0;1;8;87;4;False
2022-01-12;0;1;6;88;4;False
2022-01-13;0;1;7;100;6;False
2022-01-14;0;0;7;73;5;False
2022-01-15;0;2;9;72;4;False
2022-01-16;0;0;6;67;4;False
2022-01-17;0;2;5;86;4;False
2022-01-18;0;1;6;88;3;False
2022-01-19;0;0;5;78;4;False
2022-01-20;0;1;6;77;3;False
2022-01-21;0;1;6;78;2;False
2022-01-22;0;1;6;70;3;False
2022-01-23;0;1;6;60;4;False
2022-01-24;0;0;6;92;5;False
2022-01-25;0;1;4;78;3;False
2022-01-26;0;0;5;87;4;False
2022-01-27;0;1;5;84;4;False
2022-01-28;0;1;6;88;3;False
2022-01-29;0;0;6;76;3;False
2022-01-30;0;1;4;66;4;False
2022-01-31;0;1;5;96;5;False
