date;Cleveland Cavaliers;Andy Murray;Equatorial Guinea;Sierra Leone;air travel;isPartial
2022-01-01;0;3;1;3;2;False
2022-01-02;1;7;1;2;4;False
2022-01-03;0;7;1;3;3;False
2022-01-04;1;10;1;3;3;False
2022-01-05;1;4;0;3;5;False
2022-01-06;0;6;0;3;4;False
2022-01-07;0;6;0;3;4;False
2022-01-08;0;4;0;3;4;False
2022-01-09;0;7;1;4;3;False
2022-01-10;0;17;1;2;6;False
2022-01-11;0;18;1;20;5;False
2022-01-12;0;31;4;7;4;False
2022-01-13;1;31;0;3;6;False
2022-01-14;0;53;1;4;5;False
2022-01-15;1;100;0;5;4;False
2022-01-16;0;20;9;21;4;False
2022-01-17;1;21;2;7;4;False
2022-01-18;0;71;0;4;4;False
2022-01-19;0;24;0;3;4;False
2022-01-20;1;76;5;10;3;False
2022-01-21;0;9;0;3;2;False
2022-01-22;0;9;0;2;3;False
2022-01-23;0;6;0;2;4;False
2022-01-24;0;5;1;4;6;False
2022-01-25;1;3;1;3;3;False
2022-01-26;1;2;9;2;4;False
2022-01-27;0;3;1;2;4;False
2022-01-28;1;5;2;2;3;False
2022-01-29;1;4;1;2;4;False
2022-01-30;0;15;28;3;4;False
2022-01-31;0;6;2;2;5;False
