date;Benedict Cumberbatch;Nicole Kidman;Lady Gaga;Javier Bardem;air travel;isPartial
2022-01-01;42;46;100;19;11;False
2022-01-02;37;38;66;4;20;False
2022-01-03;35;16;86;6;16;False
2022-01-04;25;11;45;0;17;False
2022-01-05;23;7;40;4;25;False
2022-01-06;21;16;35;6;20;False
2022-01-07;29;17;43;4;20;False
2022-01-08;35;20;76;3;23;False
2022-01-09;28;14;58;2;18;False
2022-01-10;27;20;32;3;31;False
2022-01-11;33;12;36;5;25;False
2022-01-12;21;11;34;5;22;False
2022-01-13;13;14;50;4;32;False
2022-01-14;22;13;51;0;27;False
2022-01-15;33;23;62;3;21;False
2022-01-16;33;19;53;4;23;False
2022-01-17;15;22;41;2;21;False
2022-01-18;10;13;36;2;19;False
2022-01-19;13;7;31;2;24;False
2022-01-20;20;9;34;4;17;False
2022-01-21;30;17;39;4;12;False
2022-01-22;26;13;81;7;17;False
2022-01-23;24;14;40;3;22;False
2022-01-24;23;11;48;4;31;False
2022-01-25;18;18;34;7;16;False
2022-01-26;17;14;42;7;20;False
2022-01-27;18;10;47;8;23;False
2022-01-28;21;8;54;4;16;False
2022-01-29;30;22;54;12;19;False
2022-01-30;26;23;54;3;23;False
2022-01-31;12;13;39;4;26;False
