date;Burundi;Niger;Central African Republic;Zambia;air travel;isPartial
2022-01-01;14;26;0;33;34;False
2022-01-02;0;16;0;29;63;False
2022-01-03;0;23;0;30;51;False
2022-01-04;9;33;9;32;54;False
2022-01-05;23;17;0;45;77;False
2022-01-06;7;20;0;33;61;False
2022-01-07;0;27;0;45;63;False
2022-01-08;4;23;0;38;71;False
2022-01-09;11;23;0;43;55;False
2022-01-10;0;42;0;37;97;False
2022-01-11;0;24;26;43;79;False
2022-01-12;9;28;4;54;67;False
2022-01-13;6;14;0;44;100;False
2022-01-14;21;19;0;39;84;False
2022-01-15;0;23;12;51;66;False
2022-01-16;11;19;0;23;72;False
2022-01-17;20;28;5;41;65;False
2022-01-18;9;41;0;43;59;False
2022-01-19;15;16;4;50;74;False
2022-01-20;12;19;0;44;54;False
2022-01-21;4;14;0;50;38;False
2022-01-22;0;35;0;34;53;False
2022-01-23;4;28;9;37;69;False
2022-01-24;4;0;11;42;97;False
2022-01-25;5;27;0;41;49;False
2022-01-26;0;29;0;39;64;False
2022-01-27;16;28;0;43;71;False
2022-01-28;7;34;0;35;49;False
2022-01-29;5;22;16;35;60;False
2022-01-30;8;31;11;47;71;False
2022-01-31;11;19;0;62;82;False
