date;Marathon running;Privacy & the media;MailOnline;Uber;air travel;isPartial
2022-01-01;3;0;36;100;2;False
2022-01-02;3;0;30;72;4;False
2022-01-03;2;0;29;61;3;False
2022-01-04;1;0;37;57;3;False
2022-01-05;2;0;30;52;5;False
2022-01-06;1;0;32;52;4;False
2022-01-07;1;0;32;72;4;False
2022-01-08;2;0;32;88;4;False
2022-01-09;2;0;31;61;3;False
2022-01-10;2;0;40;53;6;False
2022-01-11;2;0;32;51;5;False
2022-01-12;2;0;36;51;4;False
2022-01-13;1;0;38;55;6;False
2022-01-14;1;0;34;66;5;False
2022-01-15;2;0;34;90;4;False
2022-01-16;2;0;37;71;4;False
2022-01-17;0;0;37;49;4;False
2022-01-18;1;0;34;50;4;False
2022-01-19;1;0;33;48;5;False
2022-01-20;1;0;34;51;3;False
2022-01-21;1;0;31;68;2;False
2022-01-22;1;0;31;83;3;False
2022-01-23;2;0;28;67;4;False
2022-01-24;1;0;34;62;6;False
2022-01-25;1;0;31;48;3;False
2022-01-26;2;0;33;53;4;False
2022-01-27;1;0;32;52;4;False
2022-01-28;1;0;34;79;3;False
2022-01-29;1;0;29;90;4;False
2022-01-30;2;0;30;74;4;False
2022-01-31;1;0;42;57;5;False
