date;european union;israel;sudan;ukraine;air travel;isPartial
2022-01-01;1;14;2;7;1;False
2022-01-02;1;14;2;7;2;False
2022-01-03;0;11;3;7;2;False
2022-01-04;1;10;2;7;2;False
2022-01-05;1;9;2;7;2;False
2022-01-06;1;9;1;6;2;False
2022-01-07;1;7;1;7;2;False
2022-01-08;0;7;2;6;2;False
2022-01-09;1;8;2;7;2;False
2022-01-10;1;9;2;9;3;False
2022-01-11;1;8;5;8;2;False
2022-01-12;1;8;2;9;2;False
2022-01-13;1;9;2;10;3;False
2022-01-14;1;7;2;13;2;False
2022-01-15;1;8;11;13;2;False
2022-01-16;1;10;3;14;2;False
2022-01-17;1;9;1;14;2;False
2022-01-18;1;8;5;23;2;False
2022-01-19;1;8;6;32;2;False
2022-01-20;1;7;2;37;2;False
2022-01-21;1;6;1;52;1;False
2022-01-22;1;7;1;44;2;False
2022-01-23;1;9;2;44;2;False
2022-01-24;2;10;2;100;3;False
2022-01-25;1;9;1;86;1;False
2022-01-26;1;8;2;73;2;False
2022-01-27;1;8;2;56;2;False
2022-01-28;1;7;2;54;1;False
2022-01-29;1;8;1;47;2;False
2022-01-30;1;9;2;48;2;False
2022-01-31;1;9;1;41;2;False
