date;V&A;Adaptation;Robert Harris;Social enterprises;air travel;isPartial
2022-01-01;53;13;5;7;31;False
2022-01-02;78;27;14;0;57;False
2022-01-03;71;45;0;5;46;False
2022-01-04;37;61;6;0;49;False
2022-01-05;61;43;16;0;70;False
2022-01-06;46;22;0;0;55;False
2022-01-07;53;28;11;6;57;False
2022-01-08;99;24;15;8;64;False
2022-01-09;76;38;11;5;50;False
2022-01-10;100;46;6;12;88;False
2022-01-11;67;41;6;0;71;False
2022-01-12;64;52;11;0;61;False
2022-01-13;67;58;25;0;91;False
2022-01-14;61;35;15;9;76;False
2022-01-15;94;18;19;0;60;False
2022-01-16;88;24;8;0;65;False
2022-01-17;65;47;13;0;59;False
2022-01-18;59;51;6;0;53;False
2022-01-19;52;35;0;6;67;False
2022-01-20;68;30;0;0;49;False
2022-01-21;54;38;21;6;34;False
2022-01-22;59;14;38;0;48;False
2022-01-23;63;25;26;0;62;False
2022-01-24;58;65;21;4;88;False
2022-01-25;46;45;4;0;45;False
2022-01-26;59;42;8;0;58;False
2022-01-27;49;42;17;0;65;False
2022-01-28;60;40;19;4;45;False
2022-01-29;62;21;10;5;54;False
2022-01-30;44;36;15;7;65;False
2022-01-31;62;47;5;0;75;False
