date;recycling;supply crisis;leeds;west yorkshire;air travel;isPartial
2022-01-01;13;0;53;2;0;False
2022-01-02;21;0;87;2;1;False
2022-01-03;22;0;53;2;1;False
2022-01-04;16;0;56;3;1;False
2022-01-05;14;0;56;2;1;False
2022-01-06;11;0;50;2;1;False
2022-01-07;12;0;57;2;1;False
2022-01-08;12;0;55;2;1;False
2022-01-09;14;0;79;2;1;False
2022-01-10;11;0;56;2;1;False
2022-01-11;10;0;53;2;1;False
2022-01-12;11;0;51;2;1;False
2022-01-13;11;0;53;2;1;False
2022-01-14;9;0;48;2;1;False
2022-01-15;11;0;60;2;1;False
2022-01-16;12;0;100;2;1;False
2022-01-17;10;0;60;2;1;False
2022-01-18;9;0;55;2;1;False
2022-01-19;8;0;54;2;1;False
2022-01-20;8;0;50;2;1;False
2022-01-21;8;0;56;2;0;False
2022-01-22;10;0;88;2;1;False
2022-01-23;10;0;54;2;1;False
2022-01-24;9;0;60;3;1;False
2022-01-25;8;0;54;2;1;False
2022-01-26;8;0;54;2;1;False
2022-01-27;9;0;52;2;1;False
2022-01-28;9;0;55;2;1;False
2022-01-29;10;0;63;2;1;False
2022-01-30;10;0;54;2;1;False
2022-01-31;10;0;70;2;1;False
