date;Jonny Greenwood;Radiohead;US constitution and civil liberties;Scottish National party (SNP);air travel;isPartial
2022-01-01;0;40;0;0;27;False
2022-01-02;0;32;0;16;64;False
2022-01-03;0;33;0;0;43;False
2022-01-04;16;48;0;0;50;False
2022-01-05;4;49;0;0;75;False
2022-01-06;0;36;0;0;58;False
2022-01-07;0;39;0;0;69;False
2022-01-08;10;47;0;0;60;False
2022-01-09;0;41;0;0;47;False
2022-01-10;7;39;0;0;80;False
2022-01-11;4;52;0;7;63;False
2022-01-12;0;36;0;4;69;False
2022-01-13;0;34;0;14;80;False
2022-01-14;0;51;0;0;77;False
2022-01-15;9;100;0;0;71;False
2022-01-16;0;74;0;9;75;False
2022-01-17;0;55;0;0;52;False
2022-01-18;4;43;0;0;63;False
2022-01-19;0;33;0;0;67;False
2022-01-20;0;33;0;0;38;False
2022-01-21;11;60;0;5;36;False
2022-01-22;0;45;0;0;51;False
2022-01-23;0;43;0;0;65;False
2022-01-24;4;69;0;0;71;False
2022-01-25;0;52;0;0;49;False
2022-01-26;0;42;0;0;62;False
2022-01-27;0;42;0;16;54;False
2022-01-28;0;57;0;0;50;False
2022-01-29;5;68;0;0;38;False
2022-01-30;0;50;0;4;69;False
2022-01-31;0;51;0;0;77;False
