date;Solicitors;Cornwall;Matt Hancock;The FA;air travel;isPartial
2022-01-01;15;86;2;4;2;False
2022-01-02;16;89;7;4;4;False
2022-01-03;22;82;2;4;3;False
2022-01-04;62;90;1;4;3;False
2022-01-05;59;83;2;5;5;False
2022-01-06;51;78;1;5;4;False
2022-01-07;51;83;2;18;4;False
2022-01-08;22;85;1;50;4;False
2022-01-09;18;88;2;94;3;False
2022-01-10;69;91;1;25;6;False
2022-01-11;63;83;3;9;5;False
2022-01-12;60;84;4;7;4;False
2022-01-13;67;92;3;6;6;False
2022-01-14;52;84;2;6;5;False
2022-01-15;24;92;2;9;4;False
2022-01-16;19;100;1;8;4;False
2022-01-17;68;87;1;6;4;False
2022-01-18;59;85;6;5;3;False
2022-01-19;55;79;7;5;4;False
2022-01-20;58;81;3;6;3;False
2022-01-21;56;78;3;4;2;False
2022-01-22;20;84;2;4;3;False
2022-01-23;21;88;2;7;4;False
2022-01-24;77;92;2;5;6;False
2022-01-25;62;78;1;4;3;False
2022-01-26;65;78;1;4;4;False
2022-01-27;62;82;1;4;4;False
2022-01-28;58;78;2;6;3;False
2022-01-29;20;79;2;6;4;False
2022-01-30;19;79;1;7;4;False
2022-01-31;72;78;2;7;5;False
