date;Singapore;Buddhism;Princeton University;Volunteering;air travel;isPartial
2022-01-01;75;6;2;18;6;False
2022-01-02;69;4;1;21;11;False
2022-01-03;76;10;0;17;9;False
2022-01-04;85;10;0;24;9;False
2022-01-05;85;9;0;20;13;False
2022-01-06;88;11;0;21;10;False
2022-01-07;84;8;1;26;11;False
2022-01-08;82;9;1;15;12;False
2022-01-09;84;8;0;21;9;False
2022-01-10;88;11;2;28;16;False
2022-01-11;91;9;0;26;13;False
2022-01-12;90;11;1;26;11;False
2022-01-13;90;15;0;29;17;False
2022-01-14;76;7;0;19;14;False
2022-01-15;99;7;0;13;11;False
2022-01-16;85;7;3;17;12;False
2022-01-17;90;10;0;23;11;False
2022-01-18;90;8;0;27;10;False
2022-01-19;76;7;0;23;13;False
2022-01-20;91;10;1;21;9;False
2022-01-21;87;9;2;19;6;False
2022-01-22;81;12;0;18;9;False
2022-01-23;83;16;0;19;12;False
2022-01-24;100;14;1;26;16;False
2022-01-25;83;12;3;24;8;False
2022-01-26;83;11;2;19;11;False
2022-01-27;78;9;1;23;12;False
2022-01-28;83;9;1;22;8;False
2022-01-29;84;6;5;19;10;False
2022-01-30;73;11;0;20;12;False
2022-01-31;83;8;0;24;14;False
