date;ScottishPower;BP;Green party;Rambert;air travel;isPartial
2022-01-01;0;44;0;1;5;False
2022-01-02;1;41;3;0;10;False
2022-01-03;0;39;4;0;8;False
2022-01-04;1;71;5;0;8;False
2022-01-05;2;77;5;0;12;False
2022-01-06;1;72;2;4;9;False
2022-01-07;2;82;6;1;10;False
2022-01-08;0;40;1;0;11;False
2022-01-09;0;41;5;2;8;False
2022-01-10;3;85;8;0;15;False
2022-01-11;2;76;6;2;12;False
2022-01-12;2;80;6;1;10;False
2022-01-13;0;88;6;1;15;False
2022-01-14;2;89;6;2;13;False
2022-01-15;0;44;9;0;10;False
2022-01-16;1;42;5;1;11;False
2022-01-17;4;99;8;1;10;False
2022-01-18;3;91;4;2;9;False
2022-01-19;3;89;7;2;11;False
2022-01-20;1;78;6;0;8;False
2022-01-21;2;75;6;1;6;False
2022-01-22;1;52;4;2;8;False
2022-01-23;0;44;6;1;10;False
2022-01-24;2;100;7;1;15;False
2022-01-25;1;82;3;1;8;False
2022-01-26;0;79;8;1;10;False
2022-01-27;1;82;7;1;11;False
2022-01-28;1;83;5;2;8;False
2022-01-29;1;43;5;1;9;False
2022-01-30;0;41;4;0;11;False
2022-01-31;3;85;9;1;13;False
