date;cruise ships;kyiv;volcano;croydon;air travel;isPartial
2022-01-01;3;1;10;54;2;False
2022-01-02;1;0;12;58;4;False
2022-01-03;4;2;14;59;4;False
2022-01-04;2;0;10;64;4;False
2022-01-05;2;2;10;55;5;False
2022-01-06;3;1;11;57;4;False
2022-01-07;2;0;13;60;4;False
2022-01-08;4;0;14;55;4;False
2022-01-09;5;1;15;51;3;False
2022-01-10;2;1;12;54;5;False
2022-01-11;2;1;13;56;4;False
2022-01-12;2;1;12;63;5;False
2022-01-13;2;1;12;55;5;False
2022-01-14;1;1;13;60;5;False
2022-01-15;3;0;96;57;4;False
2022-01-16;3;1;100;51;5;False
2022-01-17;3;2;79;55;4;False
2022-01-18;3;2;50;49;4;False
2022-01-19;2;2;30;49;5;False
2022-01-20;2;1;31;48;2;False
2022-01-21;3;1;21;56;2;False
2022-01-22;1;2;20;53;4;False
2022-01-23;4;2;23;47;5;False
2022-01-24;3;6;21;57;5;False
2022-01-25;3;4;15;44;3;False
2022-01-26;2;4;17;49;4;False
2022-01-27;2;2;14;49;3;False
2022-01-28;3;1;14;59;3;False
2022-01-29;3;1;13;61;3;False
2022-01-30;2;5;17;55;4;False
2022-01-31;2;2;16;61;5;False
