date;Foxconn;Jeff Bezos;Amazon Alexa;Gardening advice;air travel;isPartial
2022-01-01;1;16;15;0;3;False
2022-01-02;1;28;19;0;8;False
2022-01-03;0;36;15;0;8;False
2022-01-04;2;20;13;0;9;False
2022-01-05;1;16;11;0;9;False
2022-01-06;0;17;10;0;8;False
2022-01-07;0;16;11;0;9;False
2022-01-08;0;100;14;0;9;False
2022-01-09;0;28;13;0;7;False
2022-01-10;1;11;7;1;12;False
2022-01-11;1;12;9;1;9;False
2022-01-12;0;14;8;0;10;False
2022-01-13;0;13;9;0;11;False
2022-01-14;1;9;7;0;11;False
2022-01-15;1;12;10;1;9;False
2022-01-16;0;12;10;0;10;False
2022-01-17;0;14;8;0;8;False
2022-01-18;2;11;5;0;8;False
2022-01-19;0;7;8;0;10;False
2022-01-20;1;10;6;0;7;False
2022-01-21;1;12;77;0;6;False
2022-01-22;0;13;14;0;6;False
2022-01-23;0;10;11;0;10;False
2022-01-24;1;15;9;0;11;False
2022-01-25;0;9;8;0;6;False
2022-01-26;2;8;7;1;9;False
2022-01-27;1;10;8;2;8;False
2022-01-28;2;7;9;0;8;False
2022-01-29;2;10;9;0;7;False
2022-01-30;1;8;13;0;10;False
2022-01-31;1;7;8;0;11;False
