date;Jessica Chastain;And Just Like That;Sex and the City;Sex and the City 2;air travel;isPartial
2022-01-01;60;58;62;0;10;False
2022-01-02;20;59;65;2;19;False
2022-01-03;19;46;47;3;16;False
2022-01-04;17;42;41;3;16;False
2022-01-05;10;44;37;2;23;False
2022-01-06;10;95;62;7;19;False
2022-01-07;15;77;57;1;19;False
2022-01-08;18;63;65;2;22;False
2022-01-09;9;57;50;0;17;False
2022-01-10;13;45;43;0;29;False
2022-01-11;6;38;37;0;24;False
2022-01-12;6;43;34;2;20;False
2022-01-13;8;96;56;2;30;False
2022-01-14;9;55;54;2;26;False
2022-01-15;10;55;64;2;20;False
2022-01-16;9;55;48;0;22;False
2022-01-17;9;35;28;2;20;False
2022-01-18;11;35;33;2;18;False
2022-01-19;5;28;32;2;23;False
2022-01-20;6;92;50;2;16;False
2022-01-21;9;92;49;2;12;False
2022-01-22;8;79;52;0;16;False
2022-01-23;8;76;45;1;21;False
2022-01-24;7;50;46;3;30;False
2022-01-25;6;38;34;0;15;False
2022-01-26;4;39;32;1;19;False
2022-01-27;6;100;44;2;22;False
2022-01-28;8;75;37;2;15;False
2022-01-29;11;61;49;5;18;False
2022-01-30;6;39;39;0;22;False
2022-01-31;2;38;27;0;25;False
