date;Bong Joon-ho;Parasite;Nursultan Nazarbayev;Robbie Williams;air travel;isPartial
2022-01-01;0;64;0;77;22;False
2022-01-02;0;36;0;48;41;False
2022-01-03;4;41;0;31;33;False
2022-01-04;7;39;0;24;35;False
2022-01-05;0;50;6;15;50;False
2022-01-06;0;36;3;30;40;False
2022-01-07;7;45;7;44;41;False
2022-01-08;0;42;3;55;46;False
2022-01-09;0;36;3;39;36;False
2022-01-10;6;44;0;36;63;False
2022-01-11;0;38;0;33;51;False
2022-01-12;0;29;0;29;44;False
2022-01-13;0;23;10;79;65;False
2022-01-14;0;31;3;40;54;False
2022-01-15;3;38;0;56;43;False
2022-01-16;0;41;4;43;47;False
2022-01-17;0;48;0;72;42;False
2022-01-18;0;23;0;39;38;False
2022-01-19;0;31;0;21;48;False
2022-01-20;0;31;0;32;35;False
2022-01-21;0;40;0;33;25;False
2022-01-22;14;49;0;100;34;False
2022-01-23;0;47;0;52;45;False
2022-01-24;0;51;0;32;63;False
2022-01-25;0;44;0;28;32;False
2022-01-26;0;25;0;7;41;False
2022-01-27;0;34;0;43;46;False
2022-01-28;7;27;0;30;32;False
2022-01-29;0;49;0;32;39;False
2022-01-30;0;34;0;39;46;False
2022-01-31;0;33;0;35;54;False
