date;Coen brothers;Akira Kurosawa;Orson Welles;Michael Fassbender;air travel;isPartial
2022-01-01;31;0;14;0;33;False
2022-01-02;13;0;7;28;62;False
2022-01-03;5;15;5;11;51;False
2022-01-04;0;10;15;13;53;False
2022-01-05;23;0;13;14;76;False
2022-01-06;13;0;16;14;60;False
2022-01-07;9;5;19;12;62;False
2022-01-08;16;0;25;23;70;False
2022-01-09;0;0;20;13;54;False
2022-01-10;8;9;15;17;96;False
2022-01-11;14;0;10;11;78;False
2022-01-12;14;6;0;26;66;False
2022-01-13;17;0;0;10;99;False
2022-01-14;11;0;0;16;83;False
2022-01-15;0;0;10;14;65;False
2022-01-16;14;0;0;37;71;False
2022-01-17;0;0;7;13;64;False
2022-01-18;11;0;0;10;58;False
2022-01-19;0;16;7;13;74;False
2022-01-20;0;0;0;0;53;False
2022-01-21;11;13;12;15;37;False
2022-01-22;7;11;0;17;52;False
2022-01-23;0;0;10;17;68;False
2022-01-24;11;10;5;14;96;False
2022-01-25;0;11;18;17;49;False
2022-01-26;4;0;12;17;63;False
2022-01-27;7;0;11;16;71;False
2022-01-28;13;0;6;17;49;False
2022-01-29;11;0;100;22;59;False
2022-01-30;0;0;13;5;71;False
2022-01-31;0;0;10;9;82;False
