date;London Underground;International Space Station;Tom Cruise;County Championship Division One;air travel;isPartial
2022-01-01;71;4;72;0;13;False
2022-01-02;45;2;63;8;23;False
2022-01-03;62;6;48;0;19;False
2022-01-04;43;3;37;0;20;False
2022-01-05;61;0;31;0;29;False
2022-01-06;51;4;44;0;23;False
2022-01-07;55;2;55;0;24;False
2022-01-08;69;2;62;0;26;False
2022-01-09;69;2;44;0;20;False
2022-01-10;63;6;42;0;36;False
2022-01-11;59;21;29;0;29;False
2022-01-12;52;4;37;0;25;False
2022-01-13;54;4;46;3;37;False
2022-01-14;54;5;43;0;31;False
2022-01-15;89;3;100;0;25;False
2022-01-16;79;8;72;0;27;False
2022-01-17;68;4;41;0;24;False
2022-01-18;54;10;40;3;22;False
2022-01-19;68;5;35;0;28;False
2022-01-20;47;6;43;3;20;False
2022-01-21;71;0;47;0;14;False
2022-01-22;54;6;60;0;20;False
2022-01-23;75;5;58;0;26;False
2022-01-24;63;0;52;0;36;False
2022-01-25;58;4;54;2;18;False
2022-01-26;64;0;45;0;24;False
2022-01-27;66;12;39;0;27;False
2022-01-28;82;0;68;0;18;False
2022-01-29;87;10;78;0;22;False
2022-01-30;64;2;48;0;27;False
2022-01-31;59;4;48;0;31;False
