date;Walt Disney Company;Peter Dinklage;Installation;Grammys;air travel;isPartial
2022-01-01;3;36;47;5;6;False
2022-01-02;1;16;60;3;11;False
2022-01-03;0;8;64;3;9;False
2022-01-04;2;15;78;5;9;False
2022-01-05;0;6;82;2;13;False
2022-01-06;1;5;88;5;11;False
2022-01-07;1;6;80;4;11;False
2022-01-08;0;6;73;2;12;False
2022-01-09;0;9;70;0;9;False
2022-01-10;0;8;92;5;17;False
2022-01-11;1;8;81;1;14;False
2022-01-12;1;5;84;1;12;False
2022-01-13;2;11;100;1;17;False
2022-01-14;1;5;80;4;14;False
2022-01-15;2;5;72;4;11;False
2022-01-16;2;8;72;1;12;False
2022-01-17;0;7;91;3;11;False
2022-01-18;1;8;83;2;10;False
2022-01-19;0;6;78;3;13;False
2022-01-20;0;4;82;4;9;False
2022-01-21;0;4;74;4;7;False
2022-01-22;0;6;68;4;9;False
2022-01-23;1;6;70;3;12;False
2022-01-24;1;4;100;3;17;False
2022-01-25;0;11;92;2;8;False
2022-01-26;2;45;77;3;11;False
2022-01-27;2;13;75;1;12;False
2022-01-28;0;8;83;0;9;False
2022-01-29;0;12;71;3;10;False
2022-01-30;0;6;73;4;12;False
2022-01-31;0;5;85;4;14;False
