date;Public sector pay;US-Mexico border;Preston;RMT;air travel;isPartial
2022-01-01;0;0;75;0;2;False
2022-01-02;0;0;77;0;4;False
2022-01-03;0;0;86;0;3;False
2022-01-04;1;0;72;2;3;False
2022-01-05;0;0;70;0;5;False
2022-01-06;1;0;69;0;4;False
2022-01-07;1;0;73;1;4;False
2022-01-08;1;0;84;0;5;False
2022-01-09;1;0;89;0;4;False
2022-01-10;0;1;78;1;6;False
2022-01-11;0;0;72;1;5;False
2022-01-12;0;0;62;0;4;False
2022-01-13;0;0;76;2;6;False
2022-01-14;0;0;65;0;5;False
2022-01-15;0;0;100;0;4;False
2022-01-16;0;0;74;0;5;False
2022-01-17;0;0;75;1;4;False
2022-01-18;0;0;84;1;4;False
2022-01-19;0;0;70;1;5;False
2022-01-20;0;0;72;1;3;False
2022-01-21;0;0;76;1;2;False
2022-01-22;0;0;82;1;3;False
2022-01-23;0;0;74;0;4;False
2022-01-24;1;0;87;1;6;False
2022-01-25;0;0;74;1;3;False
2022-01-26;0;1;91;1;4;False
2022-01-27;2;0;77;1;5;False
2022-01-28;0;1;80;1;3;False
2022-01-29;0;0;93;0;4;False
2022-01-30;1;1;72;0;5;False
2022-01-31;0;0;82;1;5;False
