date;welsh government;tigray crisis;online abuse;orion;air travel;isPartial
2022-01-01;28;0;0;68;33;False
2022-01-02;28;0;11;76;61;False
2022-01-03;45;0;13;69;47;False
2022-01-04;60;0;0;64;50;False
2022-01-05;44;11;8;73;70;False
2022-01-06;44;0;9;67;56;False
2022-01-07;54;0;0;77;54;False
2022-01-08;15;0;21;83;65;False
2022-01-09;11;0;8;59;41;False
2022-01-10;48;0;0;93;83;False
2022-01-11;36;0;0;63;59;False
2022-01-12;40;0;0;100;68;False
2022-01-13;45;0;0;67;78;False
2022-01-14;51;0;7;90;67;False
2022-01-15;39;0;4;64;66;False
2022-01-16;28;6;0;73;77;False
2022-01-17;22;0;14;84;48;False
2022-01-18;46;4;8;59;43;False
2022-01-19;34;0;5;75;65;False
2022-01-20;42;0;8;76;43;False
2022-01-21;49;0;0;77;42;False
2022-01-22;15;0;4;74;38;False
2022-01-23;21;0;0;75;66;False
2022-01-24;45;0;7;89;76;False
2022-01-25;34;0;5;60;46;False
2022-01-26;31;4;0;68;60;False
2022-01-27;45;0;0;78;55;False
2022-01-28;56;0;0;69;57;False
2022-01-29;31;11;6;82;46;False
2022-01-30;29;5;6;83;60;False
2022-01-31;24;14;0;82;72;False
