date;live;platinum jubilee;online safety bill;wyoming;air travel;isPartial
2022-01-01;100;1;0;0;0;False
2022-01-02;91;1;0;0;0;False
2022-01-03;84;6;0;0;0;False
2022-01-04;86;2;0;0;1;False
2022-01-05;81;1;0;0;1;False
2022-01-06;74;1;0;0;1;False
2022-01-07;78;1;0;0;1;False
2022-01-08;87;1;0;0;1;False
2022-01-09;93;1;0;0;0;False
2022-01-10;76;10;0;0;1;False
2022-01-11;79;3;0;0;1;False
2022-01-12;93;2;0;0;1;False
2022-01-13;77;2;0;0;1;False
2022-01-14;71;2;0;0;1;False
2022-01-15;92;1;0;0;1;False
2022-01-16;90;1;0;0;1;False
2022-01-17;70;2;0;0;0;False
2022-01-18;70;2;0;0;0;False
2022-01-19;74;1;0;0;1;False
2022-01-20;75;1;0;0;0;False
2022-01-21;76;1;0;0;0;False
2022-01-22;98;1;0;0;1;False
2022-01-23;97;1;0;0;1;False
2022-01-24;79;2;0;0;1;False
2022-01-25;67;1;0;0;0;False
2022-01-26;79;1;0;0;1;False
2022-01-27;67;1;0;0;0;False
2022-01-28;78;1;0;0;0;False
2022-01-29;91;1;0;0;0;False
2022-01-30;98;1;0;0;1;False
2022-01-31;84;2;0;0;1;False
