date;Peaky Blinders;Immersive theatre;Prince;Flint water crisis;air travel;isPartial
2022-01-01;21;0;38;0;1;False
2022-01-02;21;0;40;0;1;False
2022-01-03;15;0;35;0;1;False
2022-01-04;11;0;48;0;1;False
2022-01-05;10;0;51;0;1;False
2022-01-06;11;0;36;0;1;False
2022-01-07;11;0;34;0;1;False
2022-01-08;13;0;33;0;1;False
2022-01-09;13;0;31;0;1;False
2022-01-10;10;0;28;0;2;False
2022-01-11;9;0;27;0;1;False
2022-01-12;8;0;43;0;1;False
2022-01-13;8;0;100;0;2;False
2022-01-14;8;0;81;0;1;False
2022-01-15;10;0;47;0;1;False
2022-01-16;11;0;43;0;1;False
2022-01-17;10;0;32;0;1;False
2022-01-18;10;0;31;0;1;False
2022-01-19;8;0;26;0;1;False
2022-01-20;10;0;25;0;1;False
2022-01-21;9;0;25;0;1;False
2022-01-22;9;0;28;0;1;False
2022-01-23;10;0;27;0;1;False
2022-01-24;9;0;27;0;2;False
2022-01-25;7;0;21;0;1;False
2022-01-26;8;0;21;0;1;False
2022-01-27;7;0;24;0;1;False
2022-01-28;8;0;25;0;1;False
2022-01-29;10;0;31;0;1;False
2022-01-30;10;0;24;0;1;False
2022-01-31;9;0;20;0;1;False
