date;marcus rashford;driverless cars;norfolk;tim cook;air travel;isPartial
2022-01-01;5;0;84;1;3;False
2022-01-02;2;0;84;1;6;False
2022-01-03;4;1;84;2;5;False
2022-01-04;7;1;79;2;5;False
2022-01-05;4;1;84;0;7;False
2022-01-06;2;0;73;1;5;False
2022-01-07;5;0;82;1;6;False
2022-01-08;6;0;78;2;6;False
2022-01-09;4;0;86;1;5;False
2022-01-10;17;1;84;1;9;False
2022-01-11;14;0;81;1;7;False
2022-01-12;8;0;75;1;6;False
2022-01-13;8;0;92;3;9;False
2022-01-14;5;0;90;0;7;False
2022-01-15;7;0;91;0;6;False
2022-01-16;3;0;100;0;6;False
2022-01-17;4;1;97;0;6;False
2022-01-18;2;0;85;1;5;False
2022-01-19;4;0;83;0;7;False
2022-01-20;3;1;79;0;5;False
2022-01-21;3;1;79;1;3;False
2022-01-22;6;0;88;0;5;False
2022-01-23;6;0;87;3;6;False
2022-01-24;6;1;98;2;9;False
2022-01-25;4;0;83;1;4;False
2022-01-26;5;1;81;1;6;False
2022-01-27;4;1;69;0;6;False
2022-01-28;2;1;82;0;4;False
2022-01-29;2;0;85;1;5;False
2022-01-30;7;1;82;0;6;False
2022-01-31;14;2;87;0;7;False
