date;Copa del Rey;This Is England;Drawing;Alaska;air travel;isPartial
2022-01-01;0;4;74;17;3;False
2022-01-02;1;5;84;17;5;False
2022-01-03;0;5;73;13;4;False
2022-01-04;1;4;89;14;5;False
2022-01-05;11;6;77;12;7;False
2022-01-06;6;5;79;11;5;False
2022-01-07;2;6;75;9;6;False
2022-01-08;1;6;85;16;6;False
2022-01-09;0;6;88;13;5;False
2022-01-10;0;4;81;11;8;False
2022-01-11;1;4;86;13;7;False
2022-01-12;3;4;86;10;6;False
2022-01-13;2;5;95;10;9;False
2022-01-14;0;5;79;12;7;False
2022-01-15;5;7;87;14;6;False
2022-01-16;4;5;94;16;6;False
2022-01-17;1;4;89;12;6;False
2022-01-18;0;5;82;14;5;False
2022-01-19;2;6;81;10;7;False
2022-01-20;12;7;91;10;5;False
2022-01-21;7;6;84;11;3;False
2022-01-22;1;7;90;11;5;False
2022-01-23;1;7;94;15;6;False
2022-01-24;0;8;100;12;9;False
2022-01-25;0;6;93;12;4;False
2022-01-26;1;5;88;13;6;False
2022-01-27;0;7;83;10;6;False
2022-01-28;0;7;93;10;4;False
2022-01-29;1;6;85;13;5;False
2022-01-30;0;6;78;15;6;False
2022-01-31;0;5;86;10;7;False
