date;istanbul;nevada;west ham;cannabis;air travel;isPartial
2022-01-01;8;1;68;4;1;False
2022-01-02;7;2;24;4;1;False
2022-01-03;7;1;22;4;1;False
2022-01-04;6;2;22;6;1;False
2022-01-05;6;1;23;4;2;False
2022-01-06;7;1;21;5;1;False
2022-01-07;7;1;24;4;1;False
2022-01-08;9;1;30;5;2;False
2022-01-09;8;2;84;5;1;False
2022-01-10;8;2;28;5;2;False
2022-01-11;6;2;23;5;2;False
2022-01-12;6;1;67;5;1;False
2022-01-13;7;2;33;7;2;False
2022-01-14;7;1;21;5;2;False
2022-01-15;10;2;29;5;1;False
2022-01-16;9;2;88;5;2;False
2022-01-17;7;2;21;5;1;False
2022-01-18;7;1;18;4;1;False
2022-01-19;7;1;17;5;2;False
2022-01-20;6;1;18;5;1;False
2022-01-21;7;1;22;4;1;False
2022-01-22;9;2;100;4;1;False
2022-01-23;10;2;24;4;2;False
2022-01-24;11;1;22;5;2;False
2022-01-25;12;1;21;5;1;False
2022-01-26;10;1;22;6;1;False
2022-01-27;8;1;22;5;2;False
2022-01-28;7;2;26;4;1;False
2022-01-29;9;1;30;4;1;False
2022-01-30;9;2;31;4;2;False
2022-01-31;7;1;48;3;2;False
