date;Body image;Billie Eilish;Shirley Manson;Australia Day;air travel;isPartial
2022-01-01;3;43;2;14;9;False
2022-01-02;6;49;0;4;16;False
2022-01-03;4;31;0;5;13;False
2022-01-04;6;31;0;5;14;False
2022-01-05;1;32;3;5;20;False
2022-01-06;2;40;2;6;16;False
2022-01-07;5;26;0;8;16;False
2022-01-08;3;43;2;7;18;False
2022-01-09;4;37;2;5;14;False
2022-01-10;2;33;0;4;25;False
2022-01-11;4;27;0;5;20;False
2022-01-12;10;31;2;6;17;False
2022-01-13;5;43;0;11;25;False
2022-01-14;3;32;2;3;21;False
2022-01-15;1;40;7;6;17;False
2022-01-16;4;43;2;9;18;False
2022-01-17;6;40;2;9;17;False
2022-01-18;6;28;3;9;15;False
2022-01-19;8;28;0;7;19;False
2022-01-20;4;29;1;7;14;False
2022-01-21;2;37;0;10;10;False
2022-01-22;6;32;0;6;14;False
2022-01-23;5;41;0;11;18;False
2022-01-24;8;36;0;19;25;False
2022-01-25;3;29;2;38;13;False
2022-01-26;10;27;1;100;16;False
2022-01-27;9;29;0;18;18;False
2022-01-28;6;42;1;9;13;False
2022-01-29;2;45;1;5;15;False
2022-01-30;1;31;0;4;18;False
2022-01-31;4;25;0;7;21;False
