date;Emergency services;Firefighters;Kristina Keneally;John Alexander;air travel;isPartial
2022-01-01;21;20;0;13;34;False
2022-01-02;20;20;0;0;63;False
2022-01-03;15;17;0;0;51;False
2022-01-04;31;35;0;7;54;False
2022-01-05;13;25;10;0;77;False
2022-01-06;20;14;0;20;61;False
2022-01-07;6;28;0;6;63;False
2022-01-08;43;11;5;16;71;False
2022-01-09;42;32;0;18;55;False
2022-01-10;34;18;7;18;97;False
2022-01-11;32;16;5;14;79;False
2022-01-12;32;26;0;8;67;False
2022-01-13;13;12;0;20;100;False
2022-01-14;27;17;0;7;84;False
2022-01-15;28;10;0;13;66;False
2022-01-16;18;13;6;0;72;False
2022-01-17;18;0;0;5;65;False
2022-01-18;27;25;0;14;59;False
2022-01-19;30;16;0;9;74;False
2022-01-20;16;7;0;8;54;False
2022-01-21;16;11;0;0;38;False
2022-01-22;36;14;0;16;53;False
2022-01-23;24;13;0;12;69;False
2022-01-24;32;27;0;14;97;False
2022-01-25;30;20;0;11;49;False
2022-01-26;26;14;0;21;64;False
2022-01-27;13;9;0;9;71;False
2022-01-28;20;27;9;7;49;False
2022-01-29;27;15;0;12;60;False
2022-01-30;34;4;5;8;71;False
2022-01-31;21;9;0;9;82;False
