date;Greece holidays;New year;Médecins Sans Frontières;Falkland Islands;air travel;isPartial
2022-01-01;1;100;0;0;0;False
2022-01-02;1;18;0;0;0;False
2022-01-03;1;12;0;0;0;False
2022-01-04;0;13;0;0;0;False
2022-01-05;1;9;0;1;0;False
2022-01-06;0;7;0;0;0;False
2022-01-07;1;6;0;0;0;False
2022-01-08;1;5;0;0;0;False
2022-01-09;1;5;0;0;0;False
2022-01-10;1;6;0;0;1;False
2022-01-11;1;5;0;0;0;False
2022-01-12;0;5;0;0;0;False
2022-01-13;1;5;0;0;1;False
2022-01-14;1;5;0;0;1;False
2022-01-15;1;5;0;0;0;False
2022-01-16;1;5;0;0;0;False
2022-01-17;1;5;0;0;0;False
2022-01-18;1;5;0;0;0;False
2022-01-19;1;4;0;0;0;False
2022-01-20;1;5;0;0;0;False
2022-01-21;1;5;0;0;0;False
2022-01-22;1;6;0;0;0;False
2022-01-23;1;6;0;0;0;False
2022-01-24;1;8;0;0;1;False
2022-01-25;1;8;0;0;0;False
2022-01-26;0;9;0;0;0;False
2022-01-27;1;9;0;0;0;False
2022-01-28;1;11;0;0;0;False
2022-01-29;1;23;0;0;0;False
2022-01-30;1;14;0;0;0;False
2022-01-31;1;34;0;0;1;False
