date;Broadway;Gig economy;Unemployment;Thinktanks;air travel;isPartial
2022-01-01;86;0;5;0;6;False
2022-01-02;87;0;10;0;12;False
2022-01-03;84;1;6;0;10;False
2022-01-04;71;0;13;0;10;False
2022-01-05;73;1;11;0;14;False
2022-01-06;67;1;12;0;11;False
2022-01-07;69;1;14;0;12;False
2022-01-08;85;2;11;0;13;False
2022-01-09;83;0;10;0;10;False
2022-01-10;77;0;19;0;18;False
2022-01-11;80;0;17;0;15;False
2022-01-12;68;2;16;0;13;False
2022-01-13;75;3;14;2;19;False
2022-01-14;75;1;11;0;16;False
2022-01-15;94;0;11;0;12;False
2022-01-16;83;1;10;0;13;False
2022-01-17;70;1;18;0;12;False
2022-01-18;67;2;17;0;11;False
2022-01-19;62;0;17;0;14;False
2022-01-20;70;0;14;0;10;False
2022-01-21;76;0;14;2;7;False
2022-01-22;83;0;5;0;10;False
2022-01-23;82;1;10;0;13;False
2022-01-24;94;0;17;0;18;False
2022-01-25;67;0;17;0;9;False
2022-01-26;65;1;12;0;12;False
2022-01-27;71;0;15;0;13;False
2022-01-28;86;2;10;0;9;False
2022-01-29;100;1;8;0;11;False
2022-01-30;86;0;7;1;13;False
2022-01-31;68;0;18;4;15;False
