date;Madonna;Guy Ritchie;The Incredible Hulk;Mickey Rourke;air travel;isPartial
2022-01-01;81;14;0;3;9;False
2022-01-02;100;20;5;4;16;False
2022-01-03;57;28;3;1;13;False
2022-01-04;44;27;2;3;14;False
2022-01-05;41;26;12;0;20;False
2022-01-06;37;15;6;2;16;False
2022-01-07;44;30;3;6;16;False
2022-01-08;65;43;8;2;18;False
2022-01-09;52;27;9;10;14;False
2022-01-10;42;20;0;3;25;False
2022-01-11;33;18;6;1;20;False
2022-01-12;32;12;2;1;17;False
2022-01-13;61;22;6;6;26;False
2022-01-14;68;22;2;0;22;False
2022-01-15;74;31;10;8;17;False
2022-01-16;68;22;7;0;19;False
2022-01-17;46;15;0;2;17;False
2022-01-18;59;7;5;4;15;False
2022-01-19;41;10;2;3;19;False
2022-01-20;33;8;3;2;14;False
2022-01-21;45;11;5;5;10;False
2022-01-22;66;18;3;7;14;False
2022-01-23;52;17;5;4;18;False
2022-01-24;47;14;6;0;25;False
2022-01-25;37;11;1;3;13;False
2022-01-26;40;11;3;3;17;False
2022-01-27;66;5;3;2;19;False
2022-01-28;63;19;3;5;13;False
2022-01-29;60;18;4;4;16;False
2022-01-30;57;16;5;0;19;False
2022-01-31;53;10;2;0;21;False
