date;Hydrogen power;Coal;Grandparents and grandparenting;Plastics;air travel;isPartial
2022-01-01;0;79;0;17;11;False
2022-01-02;0;85;0;27;20;False
2022-01-03;0;76;0;21;16;False
2022-01-04;3;82;0;47;17;False
2022-01-05;0;85;0;43;25;False
2022-01-06;2;86;0;42;20;False
2022-01-07;3;93;0;34;20;False
2022-01-08;2;87;0;24;23;False
2022-01-09;3;70;0;23;18;False
2022-01-10;2;93;0;51;31;False
2022-01-11;0;88;0;50;25;False
2022-01-12;0;76;0;38;22;False
2022-01-13;0;76;0;54;32;False
2022-01-14;0;80;0;41;27;False
2022-01-15;2;96;0;25;21;False
2022-01-16;0;83;0;26;23;False
2022-01-17;2;92;0;57;21;False
2022-01-18;3;98;0;44;19;False
2022-01-19;4;80;0;44;24;False
2022-01-20;0;90;0;54;17;False
2022-01-21;1;100;0;35;12;False
2022-01-22;0;93;0;29;17;False
2022-01-23;2;97;0;24;22;False
2022-01-24;5;92;0;59;31;False
2022-01-25;0;92;0;49;16;False
2022-01-26;3;97;0;43;20;False
2022-01-27;0;75;0;43;23;False
2022-01-28;2;87;0;45;16;False
2022-01-29;2;89;0;24;19;False
2022-01-30;0;97;0;23;23;False
2022-01-31;2;88;0;49;26;False
