date;Jordan;WNBA;San Antonio Spurs;Crime fiction;air travel;isPartial
2022-01-01;76;0;0;0;1;False
2022-01-02;85;0;1;0;3;False
2022-01-03;71;0;0;0;2;False
2022-01-04;73;0;0;0;2;False
2022-01-05;69;0;1;0;3;False
2022-01-06;69;0;0;0;3;False
2022-01-07;67;0;0;0;3;False
2022-01-08;90;0;1;0;3;False
2022-01-09;80;0;0;1;2;False
2022-01-10;71;0;0;0;4;False
2022-01-11;70;0;0;0;3;False
2022-01-12;64;0;0;1;3;False
2022-01-13;70;0;0;0;4;False
2022-01-14;66;0;0;0;4;False
2022-01-15;100;0;0;0;3;False
2022-01-16;91;0;0;0;3;False
2022-01-17;77;0;0;0;3;False
2022-01-18;69;0;0;0;3;False
2022-01-19;65;0;0;0;3;False
2022-01-20;65;0;0;0;2;False
2022-01-21;67;0;0;0;2;False
2022-01-22;81;0;0;0;2;False
2022-01-23;75;0;0;0;3;False
2022-01-24;73;0;0;1;4;False
2022-01-25;67;1;0;0;2;False
2022-01-26;62;0;0;0;3;False
2022-01-27;62;0;0;0;3;False
2022-01-28;71;0;0;0;2;False
2022-01-29;81;0;0;0;3;False
2022-01-30;80;1;0;0;3;False
2022-01-31;65;0;0;0;4;False
