date;Maine;Hedge funds;Mike Pence;John Oliver;air travel;isPartial
2022-01-01;56;2;2;7;10;False
2022-01-02;42;0;0;9;18;False
2022-01-03;41;2;2;9;15;False
2022-01-04;47;4;0;7;15;False
2022-01-05;43;3;4;8;22;False
2022-01-06;39;2;0;7;17;False
2022-01-07;47;4;2;4;18;False
2022-01-08;55;1;1;7;20;False
2022-01-09;59;2;8;11;16;False
2022-01-10;45;2;0;6;27;False
2022-01-11;48;6;0;7;22;False
2022-01-12;39;2;2;4;19;False
2022-01-13;46;2;0;6;28;False
2022-01-14;44;4;2;6;24;False
2022-01-15;59;0;3;8;19;False
2022-01-16;52;3;0;7;20;False
2022-01-17;46;0;1;10;18;False
2022-01-18;64;0;4;6;17;False
2022-01-19;100;3;2;7;21;False
2022-01-20;86;2;0;3;15;False
2022-01-21;69;3;2;4;11;False
2022-01-22;69;3;0;7;15;False
2022-01-23;62;1;1;8;19;False
2022-01-24;53;2;0;5;27;False
2022-01-25;47;3;0;8;14;False
2022-01-26;52;0;0;5;18;False
2022-01-27;51;3;0;4;20;False
2022-01-28;63;3;4;5;14;False
2022-01-29;62;0;0;4;17;False
2022-01-30;64;0;0;6;20;False
2022-01-31;64;2;0;8;23;False
