date;Australian federal police;Ruth Davidson;Depression;Oxfam;air travel;isPartial
2022-01-01;1;0;74;17;5;False
2022-01-02;0;0;83;17;10;False
2022-01-03;0;0;79;20;8;False
2022-01-04;2;2;83;17;9;False
2022-01-05;1;0;81;20;12;False
2022-01-06;0;1;77;17;10;False
2022-01-07;1;2;76;17;10;False
2022-01-08;0;0;74;16;11;False
2022-01-09;0;0;82;15;9;False
2022-01-10;0;1;95;23;15;False
2022-01-11;1;8;92;17;13;False
2022-01-12;0;9;85;17;11;False
2022-01-13;0;4;78;21;16;False
2022-01-14;0;1;69;16;13;False
2022-01-15;1;1;70;20;11;False
2022-01-16;0;0;74;14;11;False
2022-01-17;0;8;83;17;10;False
2022-01-18;2;2;82;18;9;False
2022-01-19;1;1;78;14;12;False
2022-01-20;0;1;77;14;9;False
2022-01-21;0;2;82;11;6;False
2022-01-22;0;5;73;14;8;False
2022-01-23;0;1;78;14;11;False
2022-01-24;0;4;100;16;15;False
2022-01-25;0;2;81;12;8;False
2022-01-26;0;0;81;12;10;False
2022-01-27;0;0;78;13;11;False
2022-01-28;0;1;73;15;8;False
2022-01-29;0;0;62;14;10;False
2022-01-30;0;0;80;14;11;False
2022-01-31;0;9;82;15;13;False
