date;Languages;Carillion;Sheffield United;Michelangelo Merisi da Caravaggio;air travel;isPartial
2022-01-01;28;0;29;0;5;False
2022-01-02;29;1;26;0;9;False
2022-01-03;28;0;20;0;7;False
2022-01-04;26;0;24;1;8;False
2022-01-05;33;0;22;0;11;False
2022-01-06;31;0;21;0;9;False
2022-01-07;30;1;25;1;9;False
2022-01-08;28;1;33;1;10;False
2022-01-09;29;0;100;1;8;False
2022-01-10;33;4;23;2;14;False
2022-01-11;39;3;27;0;11;False
2022-01-12;35;2;22;1;10;False
2022-01-13;37;2;20;3;14;False
2022-01-14;32;2;24;0;12;False
2022-01-15;34;1;76;2;9;False
2022-01-16;36;0;28;0;10;False
2022-01-17;32;2;19;0;9;False
2022-01-18;37;2;62;0;8;False
2022-01-19;31;1;23;0;11;False
2022-01-20;33;2;18;0;8;False
2022-01-21;27;0;22;0;5;False
2022-01-22;24;0;73;0;8;False
2022-01-23;33;1;24;0;10;False
2022-01-24;44;2;27;0;14;False
2022-01-25;35;1;21;2;7;False
2022-01-26;35;1;27;0;9;False
2022-01-27;35;1;28;0;10;False
2022-01-28;36;1;27;0;7;False
2022-01-29;31;0;92;1;9;False
2022-01-30;31;0;36;0;10;False
2022-01-31;37;1;51;0;12;False
