date;Beer;Cider;Cat Power;Food security;air travel;isPartial
2022-01-01;76;27;0;1;2;False
2022-01-02;83;27;0;1;4;False
2022-01-03;66;26;0;1;4;False
2022-01-04;67;23;1;0;4;False
2022-01-05;69;23;0;0;5;False
2022-01-06;68;23;0;0;4;False
2022-01-07;81;27;0;0;4;False
2022-01-08;97;33;1;0;5;False
2022-01-09;84;30;1;1;4;False
2022-01-10;65;25;1;1;7;False
2022-01-11;67;23;1;1;6;False
2022-01-12;69;25;1;0;5;False
2022-01-13;82;27;1;0;7;False
2022-01-14;85;24;2;0;6;False
2022-01-15;100;36;2;0;5;False
2022-01-16;85;34;2;0;5;False
2022-01-17;84;23;0;3;5;False
2022-01-18;68;21;1;1;4;False
2022-01-19;66;21;0;1;5;False
2022-01-20;77;23;1;1;4;False
2022-01-21;82;26;2;0;3;False
2022-01-22;91;26;1;0;4;False
2022-01-23;83;27;1;1;5;False
2022-01-24;79;23;1;1;7;False
2022-01-25;71;21;1;0;3;False
2022-01-26;67;22;0;1;4;False
2022-01-27;76;21;1;2;5;False
2022-01-28;94;22;1;1;3;False
2022-01-29;100;28;2;0;4;False
2022-01-30;70;26;1;1;5;False
2022-01-31;69;28;1;1;6;False
