date;Daily Mail;Mail on Sunday;Gina Miller;Associated Newspapers;air travel;isPartial
2022-01-01;95;1;0;0;0;False
2022-01-02;84;2;0;0;1;False
2022-01-03;85;0;0;0;1;False
2022-01-04;95;0;0;0;1;False
2022-01-05;95;0;0;0;1;False
2022-01-06;93;0;0;0;1;False
2022-01-07;90;0;0;0;1;False
2022-01-08;85;1;0;0;1;False
2022-01-09;81;2;0;0;1;False
2022-01-10;90;0;0;0;1;False
2022-01-11;88;0;0;0;1;False
2022-01-12;89;0;0;0;1;False
2022-01-13;100;0;1;0;1;False
2022-01-14;89;0;0;0;1;False
2022-01-15;89;0;0;0;1;False
2022-01-16;90;2;0;0;1;False
2022-01-17;91;0;0;0;1;False
2022-01-18;81;0;0;0;1;False
2022-01-19;87;0;0;0;1;False
2022-01-20;83;0;0;0;1;False
2022-01-21;89;0;0;0;0;False
2022-01-22;79;0;0;0;1;False
2022-01-23;72;2;0;0;1;False
2022-01-24;92;0;0;0;1;False
2022-01-25;85;0;0;0;1;False
2022-01-26;90;0;0;0;1;False
2022-01-27;84;0;0;0;1;False
2022-01-28;90;0;0;0;1;False
2022-01-29;78;0;0;0;1;False
2022-01-30;81;2;0;0;1;False
2022-01-31;92;0;0;0;1;False
