date;Uganda;Anglia Ruskin University;National parks;US immigration;air travel;isPartial
2022-01-01;47;6;18;3;18;False
2022-01-02;52;13;17;5;32;False
2022-01-03;41;8;15;0;26;False
2022-01-04;53;21;19;0;28;False
2022-01-05;53;16;15;6;38;False
2022-01-06;39;8;13;5;31;False
2022-01-07;44;11;10;0;32;False
2022-01-08;46;12;14;12;32;False
2022-01-09;45;0;16;3;28;False
2022-01-10;60;9;10;6;47;False
2022-01-11;44;12;10;2;41;False
2022-01-12;55;16;7;3;37;False
2022-01-13;65;6;19;4;50;False
2022-01-14;32;10;21;0;42;False
2022-01-15;50;6;11;5;34;False
2022-01-16;49;8;20;3;37;False
2022-01-17;45;18;13;6;33;False
2022-01-18;46;13;20;0;30;False
2022-01-19;52;10;13;4;38;False
2022-01-20;56;14;14;4;27;False
2022-01-21;55;10;6;3;19;False
2022-01-22;60;9;12;5;27;False
2022-01-23;100;3;20;5;35;False
2022-01-24;74;13;14;3;49;False
2022-01-25;55;17;15;0;25;False
2022-01-26;61;10;12;0;32;False
2022-01-27;54;12;4;7;36;False
2022-01-28;45;9;13;0;25;False
2022-01-29;46;4;11;0;30;False
2022-01-30;48;14;16;3;36;False
2022-01-31;64;12;17;0;42;False
