date;Scotland rugby union team;England rugby union team;Six Nations;Queensland;air travel;isPartial
2022-01-01;0;0;12;4;3;False
2022-01-02;0;0;14;5;6;False
2022-01-03;0;0;14;4;5;False
2022-01-04;0;0;14;5;5;False
2022-01-05;0;0;20;4;7;False
2022-01-06;0;0;16;7;5;False
2022-01-07;0;0;20;4;6;False
2022-01-08;2;0;19;6;6;False
2022-01-09;0;0;23;6;5;False
2022-01-10;0;0;21;4;9;False
2022-01-11;0;0;28;5;7;False
2022-01-12;0;0;24;5;6;False
2022-01-13;1;0;27;9;9;False
2022-01-14;0;0;39;6;8;False
2022-01-15;1;0;40;4;6;False
2022-01-16;0;0;35;12;6;False
2022-01-17;0;1;29;6;6;False
2022-01-18;0;0;58;2;5;False
2022-01-19;0;0;39;7;7;False
2022-01-20;0;0;33;5;5;False
2022-01-21;0;0;51;4;3;False
2022-01-22;0;0;56;5;5;False
2022-01-23;0;0;41;5;6;False
2022-01-24;1;0;43;5;9;False
2022-01-25;0;0;43;5;4;False
2022-01-26;1;0;61;3;6;False
2022-01-27;0;0;57;6;6;False
2022-01-28;0;0;65;4;4;False
2022-01-29;1;0;100;5;5;False
2022-01-30;0;0;76;4;6;False
2022-01-31;0;0;82;4;7;False
