date;Catherine, Princess of Wales;Alexander McQueen;Chesterfield;Samuel Eto'o;air travel;isPartial
2022-01-01;0;3;26;0;1;False
2022-01-02;0;4;21;0;2;False
2022-01-03;0;3;21;0;2;False
2022-01-04;0;3;22;0;2;False
2022-01-05;0;3;21;0;3;False
2022-01-06;0;3;25;0;2;False
2022-01-07;0;4;30;0;2;False
2022-01-08;0;4;100;0;2;False
2022-01-09;0;3;30;0;2;False
2022-01-10;0;2;20;0;3;False
2022-01-11;0;3;21;0;3;False
2022-01-12;0;2;21;0;2;False
2022-01-13;0;3;22;0;3;False
2022-01-14;0;2;19;0;3;False
2022-01-15;0;3;28;0;2;False
2022-01-16;0;3;20;0;2;False
2022-01-17;0;3;20;0;2;False
2022-01-18;0;2;23;0;2;False
2022-01-19;0;2;19;0;2;False
2022-01-20;0;2;20;0;2;False
2022-01-21;0;2;22;0;1;False
2022-01-22;0;3;28;0;2;False
2022-01-23;0;3;19;0;2;False
2022-01-24;0;3;26;0;3;False
2022-01-25;0;2;22;0;2;False
2022-01-26;0;2;20;0;2;False
2022-01-27;0;2;21;0;2;False
2022-01-28;0;2;22;0;2;False
2022-01-29;0;3;29;0;2;False
2022-01-30;0;3;21;0;2;False
2022-01-31;0;2;24;0;3;False
