date;Civil service;Children;Social care;Law;air travel;isPartial
2022-01-01;3;56;3;32;1;False
2022-01-02;3;59;4;34;1;False
2022-01-03;5;100;4;34;1;False
2022-01-04;9;61;8;50;1;False
2022-01-05;8;59;9;49;2;False
2022-01-06;7;55;9;48;1;False
2022-01-07;5;54;8;44;1;False
2022-01-08;3;56;5;35;1;False
2022-01-09;4;61;7;40;1;False
2022-01-10;8;62;11;55;2;False
2022-01-11;8;60;11;53;1;False
2022-01-12;8;58;10;52;1;False
2022-01-13;8;65;10;52;2;False
2022-01-14;7;52;9;44;2;False
2022-01-15;4;57;4;36;2;False
2022-01-16;5;65;6;43;2;False
2022-01-17;8;57;10;52;1;False
2022-01-18;8;57;10;48;1;False
2022-01-19;8;49;9;46;2;False
2022-01-20;7;51;8;49;1;False
2022-01-21;6;53;9;46;1;False
2022-01-22;4;62;4;34;1;False
2022-01-23;4;68;5;37;1;False
2022-01-24;9;72;11;58;2;False
2022-01-25;8;56;10;51;1;False
2022-01-26;8;56;10;47;1;False
2022-01-27;7;56;9;45;1;False
2022-01-28;7;53;8;47;1;False
2022-01-29;5;62;3;39;1;False
2022-01-30;5;63;5;37;2;False
2022-01-31;8;59;10;51;2;False
