date;freedom of expression;censorship;sewage;rivers;air travel;isPartial
2022-01-01;3;4;13;73;12;False
2022-01-02;0;2;10;83;23;False
2022-01-03;0;10;16;66;18;False
2022-01-04;4;5;17;60;19;False
2022-01-05;0;3;17;77;28;False
2022-01-06;2;6;17;74;22;False
2022-01-07;0;5;17;69;23;False
2022-01-08;2;0;17;61;26;False
2022-01-09;0;7;19;89;20;False
2022-01-10;2;4;24;100;35;False
2022-01-11;0;7;13;88;28;False
2022-01-12;0;3;25;76;24;False
2022-01-13;0;6;26;83;36;False
2022-01-14;3;2;18;73;30;False
2022-01-15;0;5;12;77;24;False
2022-01-16;0;3;17;73;26;False
2022-01-17;2;5;19;88;23;False
2022-01-18;0;0;19;60;21;False
2022-01-19;0;3;21;79;27;False
2022-01-20;0;6;18;70;19;False
2022-01-21;0;6;24;66;14;False
2022-01-22;2;3;11;85;19;False
2022-01-23;2;8;18;70;25;False
2022-01-24;0;6;27;91;35;False
2022-01-25;0;5;15;76;18;False
2022-01-26;0;7;17;76;23;False
2022-01-27;1;7;18;65;26;False
2022-01-28;2;6;18;69;18;False
2022-01-29;0;2;18;67;22;False
2022-01-30;3;5;19;65;26;False
2022-01-31;3;8;22;75;30;False
