date;Antisemitism;Anthony Fauci;Besiktas;Robots;air travel;isPartial
2022-01-01;0;11;9;61;27;False
2022-01-02;8;8;4;66;50;False
2022-01-03;5;0;7;57;41;False
2022-01-04;7;7;8;79;43;False
2022-01-05;23;4;63;52;61;False
2022-01-06;20;8;10;63;49;False
2022-01-07;13;0;6;76;50;False
2022-01-08;8;14;4;88;57;False
2022-01-09;0;0;30;68;44;False
2022-01-10;8;0;10;74;77;False
2022-01-11;7;13;4;69;63;False
2022-01-12;4;5;5;83;54;False
2022-01-13;0;16;9;100;80;False
2022-01-14;5;10;32;79;67;False
2022-01-15;8;8;10;86;53;False
2022-01-16;9;0;13;80;57;False
2022-01-17;23;0;0;63;52;False
2022-01-18;13;6;11;57;47;False
2022-01-19;8;20;0;71;59;False
2022-01-20;14;0;5;65;43;False
2022-01-21;0;0;13;73;30;False
2022-01-22;7;0;22;67;42;False
2022-01-23;13;5;7;74;55;False
2022-01-24;0;25;10;69;77;False
2022-01-25;19;0;7;67;39;False
2022-01-26;18;0;0;66;51;False
2022-01-27;27;0;4;65;57;False
2022-01-28;19;3;0;81;39;False
2022-01-29;5;0;0;73;48;False
2022-01-30;11;0;0;63;57;False
2022-01-31;10;12;0;74;66;False
