date;Divorce;Britney Spears;Kate Winslet;Hugh Grant;air travel;isPartial
2022-01-01;47;16;6;27;4;False
2022-01-02;50;12;7;20;8;False
2022-01-03;54;13;6;14;7;False
2022-01-04;54;14;6;10;7;False
2022-01-05;45;16;4;7;10;False
2022-01-06;47;24;2;11;8;False
2022-01-07;46;100;6;13;8;False
2022-01-08;43;54;6;17;9;False
2022-01-09;50;32;11;13;7;False
2022-01-10;57;24;9;9;13;False
2022-01-11;50;19;6;7;10;False
2022-01-12;48;16;6;10;9;False
2022-01-13;58;22;4;7;13;False
2022-01-14;44;39;5;8;11;False
2022-01-15;49;28;11;17;9;False
2022-01-16;54;26;6;7;9;False
2022-01-17;59;20;5;7;9;False
2022-01-18;50;27;4;7;8;False
2022-01-19;45;35;3;7;10;False
2022-01-20;47;34;3;4;7;False
2022-01-21;45;23;3;8;5;False
2022-01-22;46;26;7;9;7;False
2022-01-23;45;18;4;7;9;False
2022-01-24;56;19;5;7;13;False
2022-01-25;44;27;3;5;6;False
2022-01-26;50;18;4;5;8;False
2022-01-27;44;15;1;4;9;False
2022-01-28;43;19;4;7;6;False
2022-01-29;39;23;6;10;8;False
2022-01-30;42;17;4;6;9;False
2022-01-31;46;13;9;3;11;False
