date;rudy giuliani;indiana;vogue;essex lorry deaths;air travel;isPartial
2022-01-01;0;100;30;0;5;False
2022-01-02;0;95;33;0;9;False
2022-01-03;0;23;25;1;8;False
2022-01-04;2;19;27;0;8;False
2022-01-05;0;23;26;0;12;False
2022-01-06;2;22;29;0;9;False
2022-01-07;1;17;29;0;10;False
2022-01-08;1;21;33;1;11;False
2022-01-09;3;20;33;0;8;False
2022-01-10;2;14;41;0;15;False
2022-01-11;1;15;28;0;12;False
2022-01-12;1;15;33;0;10;False
2022-01-13;1;18;30;0;15;False
2022-01-14;0;17;37;0;13;False
2022-01-15;0;22;47;0;10;False
2022-01-16;0;16;35;0;11;False
2022-01-17;2;12;37;0;10;False
2022-01-18;1;14;33;1;9;False
2022-01-19;3;9;38;0;11;False
2022-01-20;2;15;30;1;8;False
2022-01-21;2;20;30;0;6;False
2022-01-22;1;16;37;0;8;False
2022-01-23;0;22;35;1;10;False
2022-01-24;2;16;38;2;15;False
2022-01-25;0;12;31;1;7;False
2022-01-26;1;15;29;0;10;False
2022-01-27;2;13;31;0;11;False
2022-01-28;0;14;27;0;7;False
2022-01-29;0;18;31;0;9;False
2022-01-30;2;28;27;1;11;False
2022-01-31;0;16;32;1;12;False
