date;Ann Patchett;Lee Westwood;Ice hockey;Horror (TV);air travel;isPartial
2022-01-01;0;0;59;10;20;False
2022-01-02;4;3;67;6;37;False
2022-01-03;5;6;55;4;30;False
2022-01-04;0;0;46;7;32;False
2022-01-05;0;0;45;8;45;False
2022-01-06;0;0;34;0;36;False
2022-01-07;0;0;51;9;37;False
2022-01-08;0;8;84;5;42;False
2022-01-09;0;0;89;5;32;False
2022-01-10;5;10;44;14;57;False
2022-01-11;0;2;43;7;46;False
2022-01-12;0;4;56;8;40;False
2022-01-13;0;0;34;11;59;False
2022-01-14;0;0;29;0;49;False
2022-01-15;0;4;77;7;39;False
2022-01-16;0;7;89;0;42;False
2022-01-17;6;0;37;0;38;False
2022-01-18;0;0;40;0;35;False
2022-01-19;0;3;49;12;44;False
2022-01-20;0;3;30;5;32;False
2022-01-21;4;4;55;18;22;False
2022-01-22;0;8;100;6;31;False
2022-01-23;0;8;85;15;40;False
2022-01-24;0;7;60;0;57;False
2022-01-25;0;0;44;5;29;False
2022-01-26;0;0;42;0;37;False
2022-01-27;3;6;35;6;42;False
2022-01-28;0;3;48;7;29;False
2022-01-29;0;20;79;15;35;False
2022-01-30;3;10;90;13;42;False
2022-01-31;3;0;55;4;48;False
