date;coal mining;uk government;the church of england;N/A;air travel;isPartial
2022-01-01;0;47;4;0;11;False
2022-01-02;5;55;8;5;20;False
2022-01-03;4;75;0;3;15;False
2022-01-04;2;80;6;2;16;False
2022-01-05;2;98;5;4;23;False
2022-01-06;2;77;4;3;18;False
2022-01-07;1;80;6;3;18;False
2022-01-08;2;51;4;2;21;False
2022-01-09;2;51;6;5;13;False
2022-01-10;3;80;4;4;27;False
2022-01-11;6;81;7;6;19;False
2022-01-12;2;83;3;5;22;False
2022-01-13;7;76;2;4;25;False
2022-01-14;6;65;3;0;22;False
2022-01-15;2;51;9;3;21;False
2022-01-16;0;59;9;3;25;False
2022-01-17;5;70;7;3;16;False
2022-01-18;2;69;7;4;14;False
2022-01-19;1;79;5;5;21;False
2022-01-20;4;69;7;5;14;False
2022-01-21;0;66;4;2;14;False
2022-01-22;6;35;8;2;12;False
2022-01-23;5;64;4;4;22;False
2022-01-24;3;79;10;5;25;False
2022-01-25;0;78;4;3;15;False
2022-01-26;4;69;9;5;20;False
2022-01-27;5;67;5;5;18;False
2022-01-28;5;69;4;4;19;False
2022-01-29;3;43;6;2;15;False
2022-01-30;4;57;7;3;20;False
2022-01-31;0;100;2;1;24;False
