date;Fine Gael;Fianna Fail;Gerry Adams;John Peel;air travel;isPartial
2022-01-01;0;0;12;6;34;False
2022-01-02;14;0;10;10;63;False
2022-01-03;0;0;0;10;51;False
2022-01-04;0;0;5;6;54;False
2022-01-05;0;0;7;0;77;False
2022-01-06;7;0;6;6;61;False
2022-01-07;0;5;17;18;63;False
2022-01-08;5;9;13;7;71;False
2022-01-09;7;0;10;12;55;False
2022-01-10;0;0;10;5;97;False
2022-01-11;9;0;5;7;79;False
2022-01-12;6;0;13;13;67;False
2022-01-13;0;8;0;6;100;False
2022-01-14;5;0;0;12;84;False
2022-01-15;0;0;8;28;66;False
2022-01-16;0;0;7;0;72;False
2022-01-17;0;6;0;0;65;False
2022-01-18;0;5;0;0;59;False
2022-01-19;0;14;10;4;74;False
2022-01-20;0;0;5;18;54;False
2022-01-21;0;0;9;10;38;False
2022-01-22;11;0;6;7;53;False
2022-01-23;0;0;0;4;69;False
2022-01-24;0;0;11;22;97;False
2022-01-25;0;5;0;9;49;False
2022-01-26;0;6;9;23;64;False
2022-01-27;0;6;0;9;71;False
2022-01-28;0;0;0;8;49;False
2022-01-29;13;5;0;63;60;False
2022-01-30;4;0;14;16;71;False
2022-01-31;0;0;0;22;82;False
