date;Sport betting;Lord of the Rings;Fantasy TV;JRR Tolkien;air travel;isPartial
2022-01-01;3;73;3;3;6;False
2022-01-02;2;72;1;3;12;False
2022-01-03;2;67;3;3;10;False
2022-01-04;0;57;2;3;10;False
2022-01-05;0;58;2;3;15;False
2022-01-06;0;64;0;2;12;False
2022-01-07;2;68;2;2;12;False
2022-01-08;0;100;2;1;14;False
2022-01-09;2;97;1;2;11;False
2022-01-10;0;77;3;3;19;False
2022-01-11;4;62;2;2;15;False
2022-01-12;1;58;3;0;13;False
2022-01-13;0;47;0;2;19;False
2022-01-14;0;58;2;3;16;False
2022-01-15;2;99;4;3;13;False
2022-01-16;2;70;3;4;14;False
2022-01-17;0;48;0;2;12;False
2022-01-18;1;50;2;0;11;False
2022-01-19;0;87;0;0;14;False
2022-01-20;0;86;1;3;10;False
2022-01-21;1;69;2;2;7;False
2022-01-22;1;100;2;3;10;False
2022-01-23;1;85;4;3;13;False
2022-01-24;2;58;2;4;19;False
2022-01-25;2;46;1;1;9;False
2022-01-26;0;46;0;2;12;False
2022-01-27;0;43;1;2;14;False
2022-01-28;2;55;0;5;9;False
2022-01-29;3;81;6;2;11;False
2022-01-30;1;66;1;1;14;False
2022-01-31;1;62;2;1;16;False
