date;falklands war;sarah everard murder;lgbt;eating disorders;air travel;isPartial
2022-01-01;15;0;45;3;18;False
2022-01-02;8;0;42;24;33;False
2022-01-03;9;0;65;14;26;False
2022-01-04;12;6;60;18;27;False
2022-01-05;40;0;60;22;38;False
2022-01-06;12;0;63;10;30;False
2022-01-07;14;0;45;21;29;False
2022-01-08;10;0;50;10;36;False
2022-01-09;15;0;53;19;22;False
2022-01-10;17;0;67;13;45;False
2022-01-11;35;0;75;19;32;False
2022-01-12;11;0;62;18;37;False
2022-01-13;14;5;65;24;42;False
2022-01-14;15;0;66;14;37;False
2022-01-15;11;0;50;14;36;False
2022-01-16;11;0;66;21;42;False
2022-01-17;8;0;65;20;26;False
2022-01-18;3;0;61;14;23;False
2022-01-19;12;0;71;18;36;False
2022-01-20;13;0;53;25;24;False
2022-01-21;4;0;59;19;23;False
2022-01-22;14;0;49;7;21;False
2022-01-23;5;0;56;18;36;False
2022-01-24;11;0;83;26;41;False
2022-01-25;12;0;70;23;25;False
2022-01-26;16;5;62;22;33;False
2022-01-27;13;0;78;10;30;False
2022-01-28;6;0;80;16;31;False
2022-01-29;8;3;49;16;25;False
2022-01-30;9;0;69;14;33;False
2022-01-31;10;4;100;28;39;False
