date;Washington Wizards;Mary Gaitskill;The space shuttle;Hubble space telescope;air travel;isPartial
2022-01-01;11;0;0;0;34;False
2022-01-02;0;19;0;0;63;False
2022-01-03;10;0;0;7;51;False
2022-01-04;14;0;0;0;54;False
2022-01-05;10;0;0;0;77;False
2022-01-06;8;0;0;0;61;False
2022-01-07;7;0;6;0;63;False
2022-01-08;13;0;6;4;71;False
2022-01-09;8;0;0;9;55;False
2022-01-10;6;0;5;13;97;False
2022-01-11;6;16;0;0;79;False
2022-01-12;11;7;5;0;67;False
2022-01-13;8;0;9;6;100;False
2022-01-14;0;6;0;0;84;False
2022-01-15;0;0;18;5;66;False
2022-01-16;12;0;15;0;72;False
2022-01-17;5;6;6;0;65;False
2022-01-18;0;0;0;0;59;False
2022-01-19;0;0;8;5;74;False
2022-01-20;0;0;13;0;54;False
2022-01-21;0;0;21;4;38;False
2022-01-22;0;0;0;10;53;False
2022-01-23;9;0;0;0;69;False
2022-01-24;8;0;6;0;97;False
2022-01-25;4;0;14;5;49;False
2022-01-26;5;5;0;15;64;False
2022-01-27;0;6;5;0;71;False
2022-01-28;0;0;9;0;49;False
2022-01-29;0;0;11;12;60;False
2022-01-30;7;0;0;0;71;False
2022-01-31;6;0;0;9;82;False
