date;rail travel;reality check;beer;philadelphia;air travel;isPartial
2022-01-01;1;0;78;10;2;False
2022-01-02;1;0;85;18;5;False
2022-01-03;1;0;68;16;4;False
2022-01-04;2;0;71;14;4;False
2022-01-05;2;0;72;11;6;False
2022-01-06;2;0;70;13;5;False
2022-01-07;1;1;83;13;5;False
2022-01-08;1;0;96;13;5;False
2022-01-09;3;0;87;15;3;False
2022-01-10;1;1;66;13;7;False
2022-01-11;1;0;69;12;5;False
2022-01-12;2;0;72;13;5;False
2022-01-13;2;0;82;13;6;False
2022-01-14;1;1;84;10;6;False
2022-01-15;2;0;98;13;5;False
2022-01-16;2;0;88;19;6;False
2022-01-17;2;0;81;12;4;False
2022-01-18;1;0;66;10;5;False
2022-01-19;2;0;66;11;5;False
2022-01-20;1;0;76;13;3;False
2022-01-21;1;0;84;11;3;False
2022-01-22;2;1;93;13;4;False
2022-01-23;2;0;85;11;5;False
2022-01-24;2;0;82;14;6;False
2022-01-25;2;1;73;10;4;False
2022-01-26;1;0;67;11;5;False
2022-01-27;2;0;76;8;4;False
2022-01-28;2;0;95;10;3;False
2022-01-29;1;0;100;14;4;False
2022-01-30;2;0;76;11;5;False
2022-01-31;3;1;70;12;6;False
