date;Oil and gas companies;Myanmar coup;Rohingya;Chevron;air travel;isPartial
2022-01-01;0;0;0;36;34;False
2022-01-02;0;5;0;31;63;False
2022-01-03;0;0;0;44;51;False
2022-01-04;0;0;0;28;54;False
2022-01-05;0;0;0;49;77;False
2022-01-06;7;11;0;32;61;False
2022-01-07;8;6;0;62;63;False
2022-01-08;0;0;0;58;71;False
2022-01-09;5;0;0;41;55;False
2022-01-10;0;7;9;45;97;False
2022-01-11;7;0;0;68;79;False
2022-01-12;5;0;0;48;67;False
2022-01-13;0;0;0;49;100;False
2022-01-14;0;0;0;35;84;False
2022-01-15;0;7;0;50;66;False
2022-01-16;0;0;9;60;72;False
2022-01-17;9;0;0;63;65;False
2022-01-18;0;0;0;47;59;False
2022-01-19;4;0;0;54;74;False
2022-01-20;0;0;0;51;54;False
2022-01-21;0;0;5;31;38;False
2022-01-22;13;0;0;78;53;False
2022-01-23;11;0;9;50;69;False
2022-01-24;0;0;0;65;97;False
2022-01-25;0;0;0;49;49;False
2022-01-26;6;0;0;33;64;False
2022-01-27;11;11;11;46;71;False
2022-01-28;0;0;6;60;49;False
2022-01-29;0;0;0;37;60;False
2022-01-30;0;0;10;68;71;False
2022-01-31;0;5;0;40;82;False
