date;Watches;Luca Guadagnino;Biopics;Radio 3;air travel;isPartial
2022-01-01;96;0;0;8;4;False
2022-01-02;100;0;0;7;7;False
2022-01-03;85;0;1;6;5;False
2022-01-04;91;0;0;6;6;False
2022-01-05;87;0;1;6;8;False
2022-01-06;76;0;0;6;7;False
2022-01-07;76;0;0;8;7;False
2022-01-08;97;0;0;9;8;False
2022-01-09;99;0;0;5;6;False
2022-01-10;88;0;0;6;10;False
2022-01-11;83;0;0;6;8;False
2022-01-12;79;1;1;7;7;False
2022-01-13;80;0;0;6;11;False
2022-01-14;82;0;0;7;9;False
2022-01-15;97;1;1;5;7;False
2022-01-16;97;1;1;9;8;False
2022-01-17;80;0;1;6;7;False
2022-01-18;80;0;2;4;6;False
2022-01-19;68;0;0;6;8;False
2022-01-20;77;0;0;6;6;False
2022-01-21;75;0;0;3;4;False
2022-01-22;92;0;0;8;6;False
2022-01-23;82;0;1;8;7;False
2022-01-24;85;0;0;9;10;False
2022-01-25;69;1;0;5;5;False
2022-01-26;78;0;0;7;7;False
2022-01-27;72;0;1;6;8;False
2022-01-28;82;2;0;6;5;False
2022-01-29;92;3;0;8;6;False
2022-01-30;84;0;0;7;8;False
2022-01-31;73;0;0;5;9;False
